IBGE;MUNIC;ODS1;ODS2;ODS3;ODS4;ODS5;ODS6;ODS7;ODS8;ODS9;ODS10;ODS11;ODS12;ODS13;ODS14;ODS15;ODS16;ODS17
5104542;Itanhangá;62,66;43,55;76,95;54,38;23,02;58,18;77,72;63,98;7,00;71,56;70,86;100,00;26,25;0,00;36,25;59,64;30,38
1503754;Jacareacanga;70,27;22,72;41,75;20,34;25,23;22,91;25,86;55,58;35,67;63,49;64,27;75,00;30,25;0,00;67,13;29,93;42,11
1711902;Lagoa da Confusão;58,17;51,36;54,15;28,99;0,99;36,27;36,10;61,04;2,78;69,98;73,69;100,00;22,80;0,00;25,51;31,73;16,15
5105259;Lucas do Rio Verde;55,18;43,41;65,03;54,69;21,14;79,38;85,88;71,82;11,42;67,87;64,50;53,03;54,07;30,26;27,87;32,23;29,24
5105580;Marcelândia;58,87;54,85;57,21;41,67;28,73;54,05;66,90;63,30;6,03;55,40;53,89;81,82;9,68;1,34;47,11;46,98;25,85
1712702;Mateiros;48,89;50,36;50,38;34,60;38,08;26,18;32,04;54,20;1,54;73,76;72,87;100,00;22,42;0,00;87,74;40,53;22,13
5105606;Matupá;47,15;41,07;68,37;50,69;31,69;47,44;75,98;66,49;5,68;62,48;65,87;100,00;19,67;0,00;27,05;30,96;31,27
5105903;Nobres;57,30;49,05;61,21;47,18;25,86;23,94;76,06;56,98;6,24;70,74;78,25;100,00;38,10;0,00;38,80;54,13;12,24
5106000;Nortelândia;53,06;45,91;61,81;54,81;37,63;31,51;71,03;44,52;4,39;73,05;59,57;44,09;42,37;0,00;25,10;26,96;19,87
5106216;Nova Canaã do Norte;43,34;43,26;68,57;46,66;36,06;0,00;69,57;62,81;4,28;79,57;78,25;50,71;23,04;0,00;30,53;42,44;31,34
5106182;Nova Lacerda;53,52;46,15;69,84;37,60;33,58;30,58;60,44;56,25;8,09;76,74;70,69;100,00;35,96;0,00;42,81;77,78;25,72
5106190;Nova Santa Helena;41,41;31,19;65,42;37,21;31,33;0,00;72,66;64,79;3,36;49,43;61,16;100,00;37,58;0,00;34,50;44,07;43,86
5106299;Paranaíta;42,57;46,11;69,38;47,17;30,74;35,51;75,65;64,58;7,29;74,24;72,48;73,64;12,70;0,00;36,38;37,56;15,29
5106307;Paranatinga;50,10;31,78;61,34;40,79;22,60;28,99;64,12;60,86;4,39;65,02;70,45;100,00;25,97;100,00;50,36;30,86;16,84
5106372;Pedra Preta;53,65;29,04;60,40;43,23;8,26;63,56;74,05;55,98;2,05;70,48;76,11;100,00;44,13;5,70;24,91;58,10;13,62
1716505;Pedro Afonso;53,47;48,97;64,11;45,72;30,63;56,89;56,01;58,21;9,27;65,71;67,50;58,98;35,30;0,00;29,97;36,79;19,80
1716604;Peixe;50,00;48,08;64,73;37,31;30,78;59,19;51,91;60,87;4,84;65,91;65,13;100,00;43,38;23,04;26,63;57,74;12,31
5106455;Planalto da Serra;44,98;49,14;49,52;47,30;31,31;0,00;65,96;56,12;1,50;66,52;56,76;81,36;41,08;0,00;34,26;77,38;13,27
1718204;Porto Nacional;52,58;45,86;63,01;41,03;30,49;83,16;59,18;60,61;9,26;66,23;65,85;39,36;58,63;89,09;33,27;27,55;24,45
5107008;Poxoréu;50,92;44,48;61,55;41,06;15,14;24,63;65,41;50,53;4,74;78,79;68,87;77,04;21,52;14,90;36,40;25,85;18,69
5107180;Ribeirão Cascalheira;46,91;42,46;62,46;34,82;11,16;34,50;67,60;59,16;11,19;71,53;56,87;62,27;19,40;0,00;38,33;25,51;15,31
5107198;Ribeirãozinho;41,18;49,57;63,54;61,03;33,57;66,36;74,16;66,32;7,88;76,86;64,49;100,00;46,99;40,00;25,84;32,31;23,70
5107602;Rondonópolis;47,13;44,88;65,85;47,41;20,25;85,09;81,77;61,30;16,30;70,22;68,31;56,04;68,31;50,36;34,28;35,25;35,81
2109700;Sambaíba;47,23;28,42;50,82;23,43;63,06;29,17;15,74;50,08;1,48;69,01;70,23;77,77;24,48;0,00;9,89;80,16;16,68
1718899;Santa Rita do Tocantins;39,06;64,79;70,06;53,07;25,10;25,96;13,89;63,16;0,05;67,88;56,71;80,46;23,70;0,00;51,27;79,76;47,40
1718907;Santa Rosa do Tocantins;42,39;25,12;65,35;27,59;41,13;36,75;15,55;53,61;3,03;72,99;78,52;100,00;42,24;0,00;35,11;34,45;11,15
5107305;São José do Rio Claro;56,09;43,65;64,47;44,16;6,10;46,73;76,23;64,48;4,64;66,06;70,97;100,00;35,46;0,00;11,53;29,93;15,84
5107909;Sinop;48,53;26,00;69,11;50,59;31,70;77,34;82,14;70,72;12,74;60,46;61,52;97,73;50,67;0,00;33,94;33,13;31,99
1708254;Tabocão;71,82;61,38;51,22;53,55;37,21;26,98;63,79;57,35;4,06;70,79;74,95;100,00;44,78;0,00;32,10;79,76;34,79
5108105;Tesouro;47,84;39,72;71,84;42,81;23,33;0,00;51,92;43,02;0,90;79,42;69,11;77,04;45,98;0,00;45,45;80,16;8,36
5108204;Torixoréu;46,29;53,58;63,95;49,45;36,72;44,37;68,62;39,06;5,94;82,16;61,97;77,04;44,26;0,00;22,02;76,98;10,58
1721257;Tupirama;51,81;39,89;68,20;54,53;22,76;31,70;23,33;52,64;4,26;75,28;100,00;100,00;46,05;0,00;28,34;79,76;7,85
